+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                            ;
+--------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; main|scoreDisplay|duizendtallen|scoreCounter_Ram|altsyncram_component|auto_generated|mux2        ; 25    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|duizendtallen|scoreCounter_Ram|altsyncram_component|auto_generated|rden_decode ; 1     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|duizendtallen|scoreCounter_Ram|altsyncram_component|auto_generated|decode3     ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|duizendtallen|scoreCounter_Ram|altsyncram_component|auto_generated             ; 28    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|duizendtallen|scoreCounter_Ram                                                 ; 28    ; 13             ; 0            ; 13             ; 12     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|duizendtallen                                                                  ; 53    ; 23             ; 0            ; 23             ; 13     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|honderdtallen|scoreCounter_Ram|altsyncram_component|auto_generated|mux2        ; 25    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|honderdtallen|scoreCounter_Ram|altsyncram_component|auto_generated|rden_decode ; 1     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|honderdtallen|scoreCounter_Ram|altsyncram_component|auto_generated|decode3     ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|honderdtallen|scoreCounter_Ram|altsyncram_component|auto_generated             ; 28    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|honderdtallen|scoreCounter_Ram                                                 ; 28    ; 13             ; 0            ; 13             ; 12     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|honderdtallen                                                                  ; 53    ; 23             ; 0            ; 23             ; 13     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|tientallen|scoreCounter_Ram|altsyncram_component|auto_generated|mux2           ; 25    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|tientallen|scoreCounter_Ram|altsyncram_component|auto_generated|rden_decode    ; 1     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|tientallen|scoreCounter_Ram|altsyncram_component|auto_generated|decode3        ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|tientallen|scoreCounter_Ram|altsyncram_component|auto_generated                ; 28    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|tientallen|scoreCounter_Ram                                                    ; 28    ; 13             ; 0            ; 13             ; 12     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|tientallen                                                                     ; 53    ; 23             ; 0            ; 23             ; 13     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|eenheden|scoreCounter_Ram|altsyncram_component|auto_generated|mux2             ; 25    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|eenheden|scoreCounter_Ram|altsyncram_component|auto_generated|rden_decode      ; 1     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|eenheden|scoreCounter_Ram|altsyncram_component|auto_generated|decode3          ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|eenheden|scoreCounter_Ram|altsyncram_component|auto_generated                  ; 28    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|eenheden|scoreCounter_Ram                                                      ; 28    ; 13             ; 0            ; 13             ; 12     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay|eenheden                                                                       ; 53    ; 23             ; 0            ; 23             ; 13     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|scoreDisplay                                                                                ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|boss|FinalBoss_Ram|altsyncram_component|auto_generated                                      ; 26    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|boss|FinalBoss_Ram                                                                          ; 26    ; 13             ; 0            ; 13             ; 12     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|boss                                                                                        ; 27    ; 0              ; 1            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|enc3|Encounter1_Run|altsyncram_component|auto_generated                                     ; 27    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main|enc3|Encounter1_Run                                                                         ; 27    ; 13             ; 0            ; 13             ; 12     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
